user,sex,age,technology_proficiency,material,color,pattern,rank,score
,,,
P01,m,75,4,Ceramic,Red,o3-generated,1,4
P01,m,75,4,Ceramic,Green,MyEdit,4,1
P01,m,75,4,Ceramic,Blue,Real_Recording,2,3
P01,m,75,4,Ceramic,Turquoise,HDB,3,2
P01,m,75,4,Denim,Red,o3-generated,2,3
P01,m,75,4,Denim,Green,MyEdit,1,4
P01,m,75,4,Denim,Blue,Real_Recording,3,2
P01,m,75,4,Denim,Turquoise,HDB,4,1
P01,m,75,4,Wood,Red,o3-generated,4,1
P01,m,75,4,Wood,Green,MyEdit,3,2
P01,m,75,4,Wood,Blue,Real_Recording,2,3
P01,m,75,4,Wood,Turquoise,HDB,1,4
P01,m,75,4,Felt,Red,o3-generated,3,1
P01,m,75,4,Felt,Green,MyEdit,2,2
P01,m,75,4,Felt,Blue,Real_Recording,1,3
P01,m,75,4,Water,Red,o3-generated,3,1
P01,m,75,4,Water,Green,MyEdit,2,2
P01,m,75,4,Water,Blue,Real_Recording,1,3
P01,m,75,4,Stone,Red,o3-generated,3,2
P01,m,75,4,Stone,Green,MyEdit,4,1
P01,m,75,4,Stone,Blue,Real_Recording,2,3
P01,m,75,4,Stone,Turquoise,HDB,1,4
P01,m,75,4,Leather,Red,o3-generated,3,2
P01,m,75,4,Leather,Green,MyEdit,4,1
P01,m,75,4,Leather,Blue,Real_Recording,2,3
P01,m,75,4,Leather,Turquoise,HDB,1,4
P01,m,75,4,Plastic,Red,o3-generated,3,2
P01,m,75,4,Plastic,Green,MyEdit,4,1
P01,m,75,4,Plastic,Blue,Real_Recording,2,3
P01,m,75,4,Plastic,Turquoise,HDB,1,4
P01,m,75,4,Glass,Red,o3-generated,4,1
P01,m,75,4,Glass,Green,MyEdit,2,3
P01,m,75,4,Glass,Blue,Real_Recording,3,2
P01,m,75,4,Glass,Turquoise,HDB,1,4
P01,m,75,4,Metal,Red,o3-generated,4,1
P01,m,75,4,Metal,Green,MyEdit,3,2
P01,m,75,4,Metal,Blue,Real_Recording,1,4
P01,m,75,4,Metal,Turquoise,HDB,2,3
,,,
P02,f,71,5,Denim,Red,o3-generated,3,2
P02,f,71,5,Denim,Green,MyEdit,1,4
P02,f,71,5,Denim,Blue,Real_Recording,2,3
P02,f,71,5,Denim,Turquoise,HDB,4,1
P02,f,71,5,Felt,Red,o3-generated,1,3
P02,f,71,5,Felt,Green,MyEdit,2,2
P02,f,71,5,Felt,Blue,Real_Recording,3,1
P02,f,71,5,Ceramic,Red,o3-generated,4,1
P02,f,71,5,Ceramic,Green,MyEdit,1,4
P02,f,71,5,Ceramic,Blue,Real_Recording,2,3
P02,f,71,5,Ceramic,Turquoise,HDB,3,2
P02,f,71,5,Glass,Red,o3-generated,4,1
P02,f,71,5,Glass,Green,MyEdit,3,2
P02,f,71,5,Glass,Blue,Real_Recording,2,3
P02,f,71,5,Glass,Turquoise,HDB,1,4
P02,f,71,5,Wood,Red,o3-generated,4,1
P02,f,71,5,Wood,Green,MyEdit,1,4
P02,f,71,5,Wood,Blue,Real_Recording,2,3
P02,f,71,5,Wood,Turquoise,HDB,3,2
P02,f,71,5,Leather,Red,o3-generated,2,3
P02,f,71,5,Leather,Green,MyEdit,3,2
P02,f,71,5,Leather,Blue,Real_Recording,4,1
P02,f,71,5,Leather,Turquoise,HDB,1,4
P02,f,71,5,Water,Red,o3-generated,2,2
P02,f,71,5,Water,Green,MyEdit,1,3
P02,f,71,5,Water,Blue,Real_Recording,3,1
P02,f,71,5,Metal,Red,o3-generated,4,1
P02,f,71,5,Metal,Green,MyEdit,1,4
P02,f,71,5,Metal,Blue,Real_Recording,3,2
P02,f,71,5,Metal,Turquoise,HDB,2,3
P02,f,71,5,Stone,Red,o3-generated,3,2
P02,f,71,5,Stone,Green,MyEdit,1,4
P02,f,71,5,Stone,Blue,Real_Recording,2,3
P02,f,71,5,Stone,Turquoise,HDB,4,1
P02,f,71,5,Plastic,Red,o3-generated,3,2
P02,f,71,5,Plastic,Green,MyEdit,2,3
P02,f,71,5,Plastic,Blue,Real_Recording,4,1
P02,f,71,5,Plastic,Turquoise,HDB,1,4
,,,
P03_1,f,69,4,Felt,Red,o3-generated,2,2
P03_1,f,69,4,Felt,Green,MyEdit,1,3
